Logic:,1
AfricAryaN,1
[Verse,5
1:,1
Logic],10
I,45
feel,12
the,66
Aryan,3
in,28
my,60
"blood,",3
it's,4
scarier,3
than,13
a,38
Blood,3
Been,3
looking,3
for,17
holy,3
"water,",3
now,4
I’m,19
praying,8
flood,3
It,4
like,22
time,8
passing,3
me,29
by,3
slower,3
slug,3
While,3
this,13
feeling,11
inside,7
of,18
body,3
seep,3
drug,2
Will,3
you,39
hug,3
"me,",7
rub,3
on,24
back,7
child?,3
Tell,7
love,6
need,10
Promise,3
you’ll,3
never,6
leave,10
Even,3
though,3
"daddy,",3
know,11
he,3
blacker,3
street,3
With,5
fist,3
to,46
"match,",3
more,3
solid,3
concrete,2
white,7
people,4
"black,",3
retreat,3
Like,14
should,4
be,10
ashamed,3
granddaddy,3
Malik,3
But,9
beautiful,5
black,7
brothers,3
and,23
sisters,3
Want,3
act,3
adopted,3
Go,3
when,14
nigga,3
daddy,15
Impregnated,3
cracker,3
momma,10
stopped,3
it,8
[Refrain:,2
My,3
oh,21
(My,4
my),11
Oh,21
said,7
(Oh,7
2:,1
Somebody,1
pinch,1
Black,1
man,2
"screaming,",1
trying,1
convince,1
not,7
So,4
why,9
wanna,5
lynch,1
me?,1
"Damn,",1
skin,1
fair,1
but,2
life’s,1
And,28
I'd,1
lying,1
if,3
didn’t,1
care,1
what,5
whites,1
thought,1
Or,1
"said,",1
shit,11
Maybe,1
it’s,1
head,1
single,2
mother,5
In-A-Gadda-Da-Vida,5
Looking,5
around,5
ground,5
serpent,5
feed,5
her,44
Praying,5
"God,",6
wondering,6
baby,5
beat,5
Feeling,10
devil,5
finna,5
come,6
defeat,5
All,4
alone,4
"wintertime,",3
close,3
heater,3
Wondering,3
what’s,3
gonna,6
happen,3
how,9
world,4
treat,3
How,7
could,11
mislead,7
just,12
her?,7
abracadabra,7
that,32
magician,7
pull,7
lever,7
[Chorus:,2
woman,2
"my,",31
Ohhh,2
don’t,4
right,5
deep,4
hide,2
Everybody,2
wonder,2
get,3
high,2
'Cause,1
can’t,5
fight,2
yeah,1
3:,1
innocent,2
sense,2
has,2
got,3
fence,2
all,10
is,11
so,10
intense,2
Don’t,3
go,6
event,2
Just,4
stay,2
home,2
invent,2
"somehow,",2
"yeah,",2
let,2
vent,3
taking,2
shots,2
drinking,2
liquor,2
make,2
dent,2
yes,4
willing,2
keep,2
chilling,2
there's,2
someone,3
out,6
there,4
far,3
away,2
Who's,2
low,3
There's,2
much,2
further,3
can,6
look,2
up,9
sky,3
(I,1
oh),1
4:,1
Single,3
Cause,1
[Bridge:,1
Sometimes,2
mind,5
"Baby,",1
no,3
"find,",1
find,3
Such,1
state,4
Beautiful,2
"mind,",1
such,1
everyday,1
feels,1
I'm,6
living,2
borrowed,1
5:,1
a...,1
con...,1
"innocent,",1
"sky,",1
[Skit],1
Atom:,2
now?,1
What,2
advice,2
give,2
?,1
God:,2
humanity?,1
suppose,1
Live,1
your,13
life.,1
waste,1
days,3
negative,1
energy,1
others.,1
Remember,2
you’re,1
salary.,1
You’re,2
house.,1
car.,1
matter,2
big,1
bank,1
account,1
"is,",1
grave,1
six,1
feet,1
under,1
everyone,1
else’s.,1
enjoy,1
have.,1
Worry,1
bout,1
came,2
before,2
you.,1
Nor,1
ones,1
will,2
follow,1
death.,1
here,1
moment,1
are,2
"guaranteed,",1
fact,1
life,3
about.,1
live,1
"fullest,",1
according,1
happiness,2
betterment,1
Kai:,2
Damn,1
"man,",1
we’ve,1
been,3
walking,2
forever,1
Thomas:,2
"Well,",1
Thalias,1
tracking,1
system,1
says,1
we’ll,1
over,1
an,1
hour,1
"Shit,",2
at,2
least,1
we,1
good,3
music,1
or,2
it?,1
"no,",1
man.,1
cueing,1
fourth,1
album,2
"now,",2
his,2
final,1
one,2
[Outro:,1
J.,1
Cole],1
"One,",2
"two,",2
"three,",2
four,1
"four,",1
listen,1
Look,1
into,2
eyes,1
see,2
beyond,1
smile,1
puttin',2
This,2
front,1
spill,1
soul,1
microphone,1
poems,1
written,1
blood,1
In,2
hopes,2
enough,2
Do,2
yet?,2
No?,1
Okay,1
I'll,3
harder,1
"fact,",1
rap,2
till,3
collapse,1
wanted,1
was,4
"acceptance,",1
latest,1
lesson,1
approval,2
accept,3
own,1
Come,1
from,5
messed,1
"home,",1
destitute,1
less,1
informed,1
About,1
ways,1
raise,1
child,1
To,2
become,1
product,2
Of,1
"environment,",1
cry,1
done,1
built,1
wall,1
Actin',1
everything's,1
reality,1
lookin',1
something,3
Through,1
bumpin',1
favorite,1
rappers,1
after,1
"Nas,",1
"Cole,",1
Hov,1
Eyes,1
"closed,",1
zone,1
five,1
morn',1
used,1
being,1
long,1
I've,2
own?,1
Chasing,1
"dreams,",1
fantasies,1
throne,1
One,1
day,1
wake,1
didn't,1
exist,1
along,1
Till,1
then,5
pen,1
verses,1
fans,1
consider,1
brilliant,1
Boosting,1
ego,1
with,3
every,1
million,1
spills,1
still,1
won't,1
"solace,",1
where's,1
logic,1
that?,1
Worrying,1
'bout,1
they,2
think,1
Logic,1
When,1
goes,1
"childhood,",1
loved,1
By,1
parents,1
too,1
drugs,1
"Nigga,",1
"advice,",1
fuck,1
Be,1
who,1
"are,",1
identify,1
as,2
star,1
No,1
tells,1
you're,2
It's,1
The,2
stealing,1
glow,1
Your,2
mama,1
did,1
she,1
Her,1
miles,1
father,1
fell,1
trap,1
They,2
set,1
met,1
therefore,1
trauma,1
Don't,1
bury,1
weep,1
clean,1
"system,",1
truly,1
forgive,1
'em,1
"opinion,",1
only,2
peace,1
start,1
notice,1
don't,1
release,1
through,1
Can,1
share,1
"true,",1
same,1
"time,",1
you'll,1
hard,1
try,1
youngins,1
fly,1
truth,1
stars,1
want,1
ought,1
Are,1
running,1
becoming,1
That's,1
finally,1
worthy,2
Let,1
tell,1
Fuck,1
"strangers,",1
dangerous,1
hell,1
Find,1
learn,1
yourself,1
"gone,",1
Him,1
